[20170114152342.290]0x00000002: 20170114152342.290, 35.521430, -98.982917, 20 #position(time_stamp, lat, lon, ttff)
[20170114152343.291]0x00000002: 20170114152343.291, 35.521432, -98.983038, 20 #position(time_stamp, lat, lon, ttff)
[20170114152344.189]0x00000002: 20170114152344.189, 35.521215, -98.983902, 20 #position(time_stamp, lat, lon, ttff)
[20170114152345.189]0x00000002: 20170114152345.189, 35.521223, -98.983952, 20 #position(time_stamp, lat, lon, ttff)
[20170114152346.192]0x00000002: 20170114152346.192, 35.521223, -98.983952, 20 #position(time_stamp, lat, lon, ttff)
[20170114152347.191]0x00000002: 20170114152347.191, 35.521223, -98.983952, 20 #position(time_stamp, lat, lon, ttff)
[20170114152348.192]0x00000002: 20170114152348.192, 35.521223, -98.983952, 20 #position(time_stamp, lat, lon, ttff)
[20170114152349.189]0x00000002: 20170114152349.189, 35.521223, -98.983952, 20 #position(time_stamp, lat, lon, ttff)
[20170114152350.189]0x00000002: 20170114152350.189, 35.521223, -98.983952, 20 #position(time_stamp, lat, lon, ttff)
[20170114152351.290]0x00000002: 20170114152351.290, 35.521223, -98.983952, 20 #position(time_stamp, lat, lon, ttff)
[20170114152352.297]0x00000002: 20170114152352.297, 35.521223, -98.983952, 20 #position(time_stamp, lat, lon, ttff)
[20170114152353.193]0x00000002: 20170114152353.193, 35.521223, -98.983952, 20 #position(time_stamp, lat, lon, ttff)
[20170114152354.292]0x00000002: 20170114152354.292, 35.521223, -98.983952, 20 #position(time_stamp, lat, lon, ttff)
